bbox,full_id,maxspeed,lanes,highway,wkt_geom
14,w3075476,50,2,tertiary,"LineString (10.149845 53.5267802, 10.1498286 53.5261754, 10.1498223 53.5260402, 10.1497886 53.5255674, 10.1497814 53.5254965, 10.1497761 53.5254447, 10.1496848 53.5250906, 10.1496632 53.5250001, 10.1496005 53.5247681)"
4,w146160682,50,2,secondary,"LineString (10.0316 53.5962226, 10.0315906 53.5963786, 10.0315358 53.5981463, 10.0315291 53.5982513, 10.0315097 53.5983892, 10.031476 53.5986247, 10.0314039 53.598994, 10.0313492 53.599163, 10.0312534 53.5993183, 10.0311925 53.5993913, 10.0311209 53.5994635, 10.0310966 53.5994862, 10.0310468 53.5995274)"
1,w151565274,50,,tertiary,"LineString (10.1421534 53.6285367, 10.1422472 53.6285814, 10.1423021 53.6286075, 10.1424493 53.6286618, 10.1428551 53.628826, 10.1429981 53.6288839, 10.1430558 53.6289045, 10.1431138 53.6289247, 10.1433005 53.629006, 10.1435597 53.6291071, 10.1437204 53.6291567, 10.1438406 53.6291861, 10.1439253 53.6292068, 10.1440504 53.6292341, 10.1446652 53.6293682, 10.1448727 53.6294115, 10.145026 53.6294579, 10.1451937 53.6295002, 10.1453034 53.6295392, 10.145437 53.6295927, 10.1454931 53.6296152, 10.1456374 53.6296851, 10.1457119 53.6297231, 10.1458478 53.6297924, 10.1459413 53.6298429, 10.1460103 53.6298802)"
4,w1229643328,50,4,primary,"LineString (10.0560119 53.591591, 10.0558883 53.5915117)"
8,w53020711,50,2,tertiary,"LineString (10.1100511 53.592583, 10.1101908 53.5926982, 10.1102649 53.5927594, 10.11046 53.5929042)"
7,w914827514,50,2,secondary_link,"LineString (9.9890046 53.4581285, 9.9889671 53.4581272, 9.9889162 53.4581272, 9.9888599 53.4581298, 9.9887935 53.458134, 9.9887507 53.4581395, 9.9886862 53.45815, 9.9886366 53.45816, 9.988597 53.4581722, 9.9885542 53.4581856)"
12,w952072735,50,2,primary,"LineString (9.9628853 53.5786255, 9.9631247 53.5787448, 9.9632935 53.5788976, 9.9633896 53.5789896, 9.9634441 53.5790505, 9.963481 53.5790963, 9.9636201 53.5792656)"
9,w308542759,50,3,primary,"LineString (9.9059245 53.6131841, 9.9058066 53.6128435)"
2,w1297680761,50,2,primary,"LineString (10.040072 53.5563771, 10.0400322 53.5564684)"
12,w137159048,50,4,primary,"LineString (9.9649039 53.5808793, 9.9648519 53.5808419, 9.9648309 53.5808267, 9.9647603 53.5807777, 9.9646844 53.5807278, 9.9645577 53.5806222)"
12,w70089913,50,2,tertiary,"LineString (9.9724473 53.5747643, 9.9722243 53.5749097)"
2,w41644778,50,,tertiary,"LineString (10.0616427 53.5595828, 10.061593 53.5599269, 10.061566 53.5600592, 10.0615547 53.5601282)"
4,w188565074,50,4,secondary,"LineString (10.0446243 53.5910296, 10.0445182 53.5912492, 10.0444515 53.5913894)"
7,w588450098,50,2,secondary,"LineString (9.9821095 53.4604674, 9.9822209 53.4604529, 9.9823035 53.4604403)"
9,w1080326842,80,4,motorway,"LineString (9.9139773 53.6205229, 9.9136182 53.6201902, 9.9133092 53.6198414, 9.9130072 53.6194531)"
2,w733883669,50,3,primary,"LineString (10.0408167 53.5526503, 10.0406101 53.5526492)"
11,w43159035,50,2,secondary,"LineString (10.1757204 53.606902, 10.1767329 53.6068781, 10.177936 53.6068496, 10.1786328 53.6068436, 10.1788666 53.6068416, 10.1792531 53.6068383, 10.179925 53.6068335, 10.1805112 53.6068309, 10.1807657 53.6068255, 10.1809782 53.6068119, 10.1811463 53.6067984)"
